Date,Time,SI,LI,LI_V,SWEAT,KI,CT,VT,TT,CAPE,CAPE_V,CIN,CIN_V,EL,EL_V,LFC,LFC_V,BRN,BRN_V,LCL_T,LCL_P,THETAE_LCL,MML_PT,MML_MR,THK_1000_500,PW,Thunderstorm_24h
2000-01-01,00Z,,,,,,,,,0.0,66.32421648243503,0.0,0.0,776.5618967243702,772.8987053459606,903.2275184938644,895.0961716221776,,,290.3035423796778,953.7204262537634,331.59954783911274,295.4903263850025,8.32268035895288,,15.376750890977789,0
2000-01-01,12Z,,,,,,,,,0.0,0.0,-33.517933259150574,-20.357591651839027,,,866.9355620902137,854.3776189287801,,,289.7173963484097,907.4601270751048,336.2795480892796,299.19672976367445,11.493170274389051,,16.68307671968127,0
2000-01-02,00Z,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,288.5575749437873,939.1474816549852,327.62638285950544,296.1436618905053,11.262012497306262,,21.53138320535966,0
2000-01-02,12Z,,,,,,,,,5.963129451347233,6.033162492123235,0.0,0.0,821.5332247037583,826.9375100748697,,,,,288.49975195862606,893.2709242845234,334.0573803427164,296.57322980673183,7.962237001575268,,18.986989108994976,0
2000-01-03,00Z,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,286.17681266247325,920.1016598622776,322.6044954845181,296.6527470268817,7.61956082574067,,12.517479959493237,0
2000-01-03,12Z,12.083672051537912,4.869128286727994,4.002957293202144,58.8,4.899999999999999,7.5,21.5,29.0,0.0,0.0,0.0,0.0,,,,,,,285.0661781951395,852.8589681762927,328.63361463555736,296.7658405997856,6.687433071394705,5706.22468079794,19.302650697690297,0
2000-01-04,00Z,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,286.99863756083204,932.9278798659116,323.4301850301049,294.8590395539365,7.691132420401582,,18.53707943388641,0
2000-01-04,12Z,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,284.2774679080032,854.3155941477869,325.96900230904106,297.8292857871816,11.405839346682466,,20.498151777466692,0
2000-01-05,00Z,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,286.3752527466506,920.1380780698604,323.21137650032955,295.8788226392958,6.637570573469103,,8.272367542873353,0
2000-01-06,00Z,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,287.1973333236088,933.8870471774547,323.9266773273403,295.0675498221356,8.070782941940099,,18.716073905555984,0
2000-01-06,12Z,,,,,,,,,6.372540860173275,14.710493744022644,-28.817769407413515,-41.075276516714695,,,,,,,288.69763760774043,892.4265552297121,334.8848976769765,298.1507468454874,11.222142360312445,,25.71798832126184,0
2000-01-07,00Z,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,287.3960238428141,933.9176231693828,324.55327635662667,296.63074108162726,9.844802637674992,,13.885760777116788,0
2000-01-07,12Z,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,283.27209669865334,841.7954187323576,324.75491226986423,296.1834594001884,6.0677602846084735,,10.398209233536392,0
2000-01-08,00Z,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,285.3830331179004,919.9549768910148,320.22857167301925,293.21536193856167,8.561536389948321,,12.779997287435338,0
2000-01-08,12Z,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,284.4746472294304,853.5265216699962,326.68827093396663,300.0635688599765,9.728892385434458,,17.894753475209423,0
2000-01-09,00Z,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,287.3796386283466,944.0417233847164,323.14174884695376,293.2980582213107,7.458489450945699,,14.56089654856829,0
2000-01-09,12Z,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,286.4952094568709,879.0890817452969,329.36684833081193,298.76786858272646,5.72613884814932,,10.642060632418811,0
2000-01-10,00Z,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,289.7567241649173,974.0534480136936,326.8891494121774,294.6503558501104,11.437107081059034,,18.01099407716116,0
